iso3,P2_DTP1_access_value_normalized,P2_Child_marriage_value_normalized,P2_Lower_secondary_completion_rate_value_normalized,P2_Skilled_birth_coverage_value_normalized,P2_Basic_hygiene_value_normalized,P2_Under_five_mortality_value_normalized,P2_Child_Food_Poverty_value_normalized,P2_Child_poverty_value_normalized,P2_Stunting_value_normalized,P2_At-least_basic_sanitation_value_normalized,P2_At-least_basic_drinking_water_value_normalized,P2_Child_labor_value_normalized,P2_Learning_poverty_value_normalized,P2_Lower_secondary_out_of_school_value_normalized,P2_electricity_access_value_normalized,P2_Under_five_covered_by_social_protection_value_normalized,P2_DTP3_access_value_normalized,P2_arithmetic_avg,rank_reverse
AFG,6.4,4.7049180327868845,7.14986456735064,4.772393538913362,5.0064227275404685,5.243290510993517,7.681303150464777,,8.37520979063813,5.076198423819215,2.9800945584053586,4.6923076923076925,,6.717458965517241,1.6333333333333346,9.96,6.724137931034483,6.300075197324026,20.0
AGO,5.600000000000001,3.7868852459016393,7.231054695245094,7.400881057268721,6.569194030574673,4.834911347611004,4.636359965434532,7.023085132408503,9.525760861131868,5.544801341345189,4.981333307291699,3.333333333333333,,2.462744827586207,5.722222222222223,9.97,5.862068965517241,5.809179904636308,24.0
ALB,0.0,1.9344262295081966,0.24322913012571767,0.0,,0.8069195494487915,2.7472925062387445,0.5847305447355479,1.2999873411001808,0.07811992811894264,0.7588116015340027,,0.7617700476395367,0.18965515517241377,0.0,7.539999999999999,0.1724137931034484,1.383876899867969,135.0
AND,0.0,,,0.0,,0.1263530276885831,,,,0.0,1.7763568394002505e-15,,,,0.0,8.78,0.0,2.2265882569221462,110.0
ARE,0.3999999999999986,,,0.0,,0.3574707606681733,,,,0.10186283087115733,1.7763568394002505e-15,,2.4122364646509995,,0.0,9.98,0.3448275862068968,2.5973691074612955,88.0
ARG,3.6000000000000014,2.540983606557377,2.340209963820156,0.10279001468428817,,0.8359911246100992,,,1.9742166795297422,0.5777457035091782,0.14904329009066686,0.2564102564102564,5.910230536209904,0.023943810344827593,0.0,1.2200000000000006,3.9655172413793105,1.4953577356996826,131.0
ARM,0.1999999999999993,0.8688524590163933,0.31315480596913403,0.02936857562408335,0.5808686154243041,0.8432091438197818,2.137518877752922,0.14749039306967404,1.0519545749672299,0.7067041652339761,0.010638883277819033,0.7948717948717947,2.551699588173305,0.0,0.0,6.82,0.6896551724137936,1.1958568309563482,145.0
ATG,0.0,,,0.14684287812040964,,0.7890475767568909,,,,0.043983818054853074,0.16749002895810428,,,,0.0,,0.0,0.31049840659782396,170.0
AUS,1.0,,,0.22026431718061446,,0.23770226623434634,,,0.42425690216303846,0.0,0.0047208765034234546,,0.6382778569271684,,0.0,0.0,0.862068965517242,0.3038634640417882,171.0
AUT,0.6000000000000014,,,0.19089574155653466,,0.20889941979908164,,,,0.003112102034306119,4.36145040083602e-07,,1.2598979347630528,,0.0,0.0,2.2413793103448265,0.44568447732542965,163.0
AZE,6.600000000000001,2.4590163934426226,,0.02936857562408335,0.41923634420147415,1.6839825114808882,1.1440039411094869,,1.1836275506662257,0.1139521521593192,0.3594472576578376,1.051282051282051,3.6365023161235577,,0.0,8.97,8.103448275862068,3.027171322866532,72.0
BDI,1.8000000000000007,3.1147540983606556,8.865509459515486,3.6417033773861958,9.754197100103934,4.638236581900261,2.7085274948919023,3.0021791880282422,9.999999999999998,6.176327755331023,5.298758874342775,10.0,9.770405819541526,4.896551724137931,9.966666666666667,7.98,1.5517241379310356,6.028796299384885,22.0
BEL,0.0,0.01639344262295082,,,,0.24932533257108422,,,0.3245986924581542,0.057314397758819524,1.7763568394002505e-15,,0.5817899202045632,,0.0,0.0,0.1724137931034484,0.1797479787291399,183.0
BEN,4.4,4.508196721311475,9.272730060335846,2.819383259911894,9.076803799541713,7.442741116324317,5.643232678904566,9.473742434953682,6.573337906871333,8.673477547350751,4.728514281156647,4.846153846153845,5.555379365619852,6.965517586206897,4.833333333333334,8.8,6.0344827586206895,6.6634781373988785,14.0
BFA,0.6000000000000014,8.409836065573769,,0.6167400881057254,7.7213521390204995,7.457011895417321,4.942005927816319,,3.780968365001,7.608424341762678,7.774004692639512,5.0256410256410255,7.459072715357725,,8.944444444444445,9.13,1.2068965517241388,6.5240844235715105,17.0
BGD,0.0,7.737704918032787,4.010044164973738,4.449339207048458,2.935817807648606,2.961126530266969,3.2443407121455627,,4.9143074152568325,3.6124498905281257,0.18928538121293315,2.102564102564102,5.075789602179273,2.0689655172413794,0.06666666666666643,5.55,0.1724137931034484,3.5209724965094202,62.0
BGR,0.3999999999999986,,,0.8516886930983851,,0.45330969930089293,,,0.9195261487951587,1.553222331339489,0.12667376732384739,,1.5984946803042734,,0.0,3.8999999999999995,0.6896551724137936,1.3661024240183395,138.0
BHR,0.1999999999999993,,,0.08810572687224649,-1.7763568394002505e-15,0.7603191207080792,,,0.7353187388468967,0.0,0.012453773976817573,,2.8595472636975683,,0.0,9.24,0.3448275862068968,2.2929282849191,107.0
BHS,0.0,,,0.04405286343612147,,1.124311522857767,,,,0.7016728465651134,0.16398649049673963,,,,0.0,9.87,1.3793103448275872,2.945745498363655,74.0
BIH,1.4000000000000021,,,0.014684287812038122,0.28530690719252405,0.571716836771212,,,1.4073429785982923,0.5148171072382208,0.6083286819477394,,,,0.0,8.54,3.275862068965517,2.432236127338011,99.0
BLR,0.0,0.7704918032786885,0.11416171074989911,0.014684287812038122,,0.10854903908734612,0.0,,0.025399469959614035,0.028183943647437815,0.016714899294614227,0.7948717948717947,,0.0,0.0,,0.0,0.16452198699023,184.0
BLZ,1.8000000000000007,5.491803278688524,4.512727449580473,0.748898678414097,1.0116364400220306,1.1542985307154021,1.408526687287499,1.9124551851534783,2.177330768885241,1.7512086906918238,0.801116875141858,,,1.4137930689655174,0.15555555555555678,9.7,1.724137931034484,2.786236252268043,81.0
BOL,6.600000000000001,2.3770491803278686,1.9300871654354186,0.36710719530102764,7.600126863990564,1.4621095498500132,1.240060408809349,,1.981158656849894,3.1699415963779254,1.0280457820114943,3.2307692307692304,,0.5472548275862069,0.011111111111111072,3.7199999999999998,6.724137931034483,2.5990847273658066,87.0
BRA,1.4000000000000021,,1.7251191054317339,0.23494860499265613,,1.3122737532631674,1.1679413356161619,,1.6062102112402863,0.8476725202457978,1.970963996456021e-07,0.28205128205128205,4.620827524285557,0.0004963793103448522,0.0,3.4099999999999993,1.2068965517241388,1.37731135137174,137.0
BRB,0.8000000000000007,,,0.10279001468428817,1.201109311628274,0.8612939272639973,,,0.9688754405092961,0.21279441616901984,0.13019013935606338,,,,0.0,8.69,0.6896551724137936,2.28659572405312,108.0
BRN,0.0,,,0.058737151248163144,,0.8795131318547063,,,1.8212481675221632,0.0,1.7763568394002505e-15,,,,0.0,,0.0,0.6788613967972278,160.0
BTN,0.0,1.4754098360655736,,0.22026431718061446,0.5703574950355605,1.61092089079362,7.4580005330189065,,3.4406685532510908,1.4678220613748465,0.07049602181088943,,,,0.0,9.6,0.0,3.148937201449407,69.0
BWA,0.0,,0.948244242448693,0.02936857562408335,,3.246079685166685,,,4.075736972562856,3.110646342196806,1.2793547985758256,,,0.568965551724138,2.677777777777777,9.77,0.5172413793103452,3.4752531763967203,64.0
CAF,9.200000000000001,10.0,10.0,8.766519823788546,8.082106176086805,8.95967519628823,,,7.743142755638314,9.589639507765783,9.872095298690589,6.64102564102564,,3.993044827586207,9.366666666666667,9.51,9.655172413793103,8.565460462829847,1.0
CAN,1.1999999999999993,,,0.3230543318649026,,0.42205669054119754,,,,0.1575279525064328,0.265823277567117,,0.13703762857537471,,0.0,0.0,1.0344827586206904,0.28203084135494905,173.0
CHE,0.1999999999999993,,,,,0.26393340751790884,,,,0.011169847953317102,5.003215779453285e-07,,,,0.0,0.0,0.3448275862068968,0.11278194426441376,189.0
CHL,0.0,0.0,0.47972412911595264,0.08810572687224649,,0.5563408817855433,,,0.13994209574211777,4.909790956020288e-07,0.14285731196707907,,2.546361019736842,0.0,0.0,4.25,0.5172413793103452,0.8825348150234278,154.0
CHN,0.1999999999999993,0.4590163934426229,0.7540259551263819,0.014684287812038122,0.2847584899038704,0.4521364650029568,1.4586789207174757,,0.7149828288149228,0.30433420554890844,0.6028710938703217,,1.6000000803094103,0.39655172413793105,0.0,9.71,0.1724137931034484,1.8741341099627988,117.0
CIV,3.6000000000000014,4.229508196721311,8.168607544847681,2.3348017621145383,8.123518922984331,6.401813406376061,4.821430590439579,,3.9298125257771948,6.6478597407784825,3.5375345375118386,3.0769230769230766,8.093202289782063,5.436891379310344,3.288888888888888,9.05,3.6206896551724137,5.718231021369836,25.0
CMR,3.1999999999999993,4.885245901639344,5.983898041708406,4.552129221732746,6.479395163188958,6.438935680322579,4.284858225047043,3.597963603801676,5.345832976025678,5.904250859200444,4.445028971383445,,7.256064967105263,3.122334655172414,3.222222222222223,9.07,3.6206896551724137,5.312275258823896,29.0
COD,3.1999999999999993,4.9016393442622945,5.1883546555113895,2.2026431718061668,8.400784262115872,8.954646992351295,4.513442575288921,,8.788175770865745,9.33674229124973,10.0,2.7948717948717947,9.852789627878282,2.7132655172413793,8.722222222222221,9.25,5.689655172413793,6.974474380181681,9.0
COG,3.1999999999999993,4.475409836065573,5.650846222567034,0.8223201174743018,5.397314581253988,3.8335739127431125,,,3.11210885020438,8.86246858163664,4.121912298723988,3.3589743589743586,7.054106862921463,1.0207546206896554,5.488888888888889,,3.4482758620689653,4.134202300028847,50.0
COL,1.8000000000000007,3.836065573770491,2.5354105404255627,0.3230543318649026,3.080563251222026,1.041253918846744,,,2.154953100817928,0.3812915911783712,0.4514132987700492,0.4871794871794871,5.090204339278368,0.4482758448275862,0.0,6.609999999999999,1.5517241379310356,2.411749112784186,101.0
COM,3.6000000000000014,3.393442622950819,,0.4111600587371491,6.793636406004192,3.8195002270495526,5.439619456805279,,3.3521175072584493,4.771957008311945,2.3237544231051572,2.0769230769230766,,,1.1222222222222218,10.0,3.9655172413793105,4.6425098420128,39.0
CPV,1.0,1.3770491803278688,,0.23494860499265613,4.075773356735756,1.0005853124530601,,,0.8735661754196833,1.8821562955723348,1.2002602787103278,,,,0.32222222222222285,5.7700000000000005,0.862068965517242,2.002012321120519,114.0
CRI,0.0,2.8032786885245904,3.0743496449220746,0.1615271659324513,1.459033814811857,0.9263872971879663,0.2963908159227285,0.0,1.9646816695047102,0.13511027741109594,0.02869893747836727,0.7179487179487178,3.2656912552682944,0.2737763793103448,0.0,5.579999999999999,0.0,1.3419246387174473,139.0
CUB,0.0,4.819672131147541,0.6521262947085162,0.02936857562408335,0.6878438450623019,0.7393019200180722,1.3337909758284003,,1.2859808809777569,0.5833909248229876,0.7546169594729157,,,0.21277118965517244,0.0,9.98,0.0,2.5662763964918036,90.0
CYP,0.0,,,0.014684287812038122,,0.37671167724180377,,,,0.05826756644338893,0.04336086322474664,,0.7631218558863578,,0.0,0.0,0.6896551724137936,0.27334652260373743,174.0
CZE,0.1999999999999993,,,0.02936857562408335,,0.13513542276999,,,0.28039463099307027,0.10373961878209315,0.196809458550824,,1.1796429282740526,,0.0,8.37,2.068965517241378,1.7816718406533225,120.0
DEU,0.1999999999999993,,,0.528634361233479,,0.24829781905860057,,,0.245235557624537,0.08623688489198678,1.7763568394002505e-15,,1.3094634005897894,,0.0,0.0,1.5517241379310356,0.4027008074183416,165.0
DJI,3.1999999999999993,1.0655737704918031,,,5.131756811860406,4.8205290249820285,,,4.064017281440011,3.6786788064218676,3.1621420803403595,,,,3.8888888888888893,9.65,3.6206896551724137,4.52680647074586,43.0
DMA,0.3999999999999986,,,0.0,,3.4837732088520315,,,,2.1902136876587113,0.46715675729448947,,,,0.0,9.93,1.3793103448275872,3.796821504383882,58.0
DNK,0.1999999999999993,0.11475409836065573,,0.45521292217327414,,0.27294269746241073,,,,0.04493123682069822,3.302124085280411e-08,,0.22490411055715365,,0.0,0.0,0.3448275862068968,0.1475127780660387,186.0
DOM,0.1999999999999993,5.163934426229508,2.635909427535676,0.014684287812038122,5.361190085588563,2.9748839791164934,1.0726440160551756,,0.9407604323626817,1.1021781367198713,0.3953550726407844,0.7179487179487178,7.865037616930504,0.40712446551724146,0.21111111111111214,3.1799999999999997,1.8965517241379288,2.3721970701653357,103.0
DZA,0.0,0.6229508196721311,3.5295277380933907,0.17621145374449299,1.5700291252553171,2.064073541869987,2.5261219644169506,,1.6161331552920326,1.5721949156579722,1.178503082070618,0.3846153846153846,,0.5390963965517241,0.0,2.7699999999999996,1.0344827586206904,1.598030314087151,126.0
ECU,4.800000000000001,3.6393442622950816,1.0967647140576826,0.4111600587371491,0.839686103379023,1.177228234190347,0.25079347132600566,,3.4065303589002274,0.9811954518047514,1.2327886873215288,,6.624960648386094,0.8620689655172414,0.0,7.08,4.827586206896551,2.8734394049755823,77.0
EGY,0.0,2.5901639344262293,,0.4258443465491908,0.801544027487207,2.1383644476462864,3.4063461553992394,,2.434020589088028,0.3250553804471483,0.4200582322926998,2.6666666666666665,5.591502540989926,,0.0,7.609999999999999,0.1724137931034484,3.079083249011686,71.0
ERI,0.1999999999999993,,,,,3.3458961921403674,,,9.581929624684037,9.823493204561276,7.4862097725751955,,,,4.955555555555556,8.98,0.5172413793103452,6.490721923402921,18.0
ESP,0.0,,,0.014684287812038122,,0.19579700411355397,,,,0.009134203225599435,0.011707315597535128,,0.4526400315134147,,0.0,4.47,0.6896551724137936,1.0609885320189987,150.0
EST,3.1999999999999993,,,0.014684287812038122,,0.076573939028585,,,0.05655669757888335,0.10915680189952681,4.6312483270583016e-07,,,,0.0,0.0,2.93103448275862,0.34482779235246247,168.0
ETH,3.400000000000002,6.606557377049179,8.995071565166697,7.37151248164464,9.806987699563543,4.379657221580979,7.242951632572301,10.0,7.045964056891545,10.0,6.903742244737071,,9.198909558747935,5.129310344827586,5.0,9.55,4.310344827586207,7.086306272621534,8.0
FIN,0.1999999999999993,0.01639344262295082,,0.07342143906020482,,0.11069210695081352,,,0.13783908496571887,0.061584160815435496,5.135567118230711e-07,,0.18748705010665057,,0.0,0.0,1.2068965517241388,0.12189764564689902,188.0
FJI,0.6000000000000014,0.6557377049180327,,0.02936857562408335,1.3922666937899244,2.8219048727976435,1.0746145707986399,,1.2641953227406926,0.8082915948440519,0.6902525000848865,4.025641025641025,,,0.8888888888888893,8.92,0.6896551724137936,2.7945968233863585,80.0
FRA,0.0,,,0.35242290748898597,,0.3122323558942842,,,,0.15122594159905667,3.924218443529526e-07,,0.3828149092824832,,0.0,0.0,0.3448275862068968,0.18899461112223773,181.0
FSM,0.3999999999999986,,,,,2.1432703681939795,,,,1.0649103480305904,1.573112559079437,,,,1.6333333333333346,9.32,3.793103448275862,3.6811068539046814,60.0
GAB,7.200000000000001,2.180327868852459,,0.7048458149779719,5.398826018391317,3.176746778780495,4.211931547450797,,2.597463319816895,4.752054144241121,1.7725031660023802,2.769230769230769,2.9134274532920417,,0.7222222222222232,6.3,6.379310344827586,3.713672384257126,59.0
GBR,1.1999999999999993,0.0,,,,0.3464069044198308,,,0.5070297729156713,0.10010220423775174,1.335207482355827e-07,,0.04146350057501469,,0.0,0.0,1.0344827586206904,0.24139699042809476,178.0
GEO,0.6000000000000014,1.540983606557377,0.23991781672942913,0.02936857562408335,0.8586099539169361,0.7429385287774656,1.0389507603595456,,0.7565734399947731,1.0396113743363156,0.42133717236214885,0.15384615384615385,1.1080394544099472,0.03448275862068964,0.0,6.98,2.068965517241378,1.6252426489282732,124.0
GHA,0.0,2.639344262295082,5.983929002442962,1.8208516886931,5.67874174223457,3.5059692327728356,3.264676191014594,,2.971227545766006,7.632677196308353,1.5668845765399535,4.897435897435898,,1.0443737586206896,1.6555555555555568,6.96,0.5172413793103452,3.8320441746396896,57.0
GIN,4.200000000000001,7.6229508196721305,8.500056260567279,6.563876651982379,8.267073366236795,9.204440129795454,8.583607245826705,6.059525276721038,5.22861564721688,7.513236162341301,4.012447452169431,5.948717948717948,8.386823955335105,7.8383294827586205,5.811111111111112,9.379999999999999,6.0344827586206895,7.301119779395838,7.0
GMB,3.1999999999999993,3.7868852459016393,,2.3788546255506597,9.066488529055352,4.16725119219333,5.202894454180565,2.2598914642857797,2.6485481058610705,5.781742176711995,2.005098397920049,4.076923076923076,,,3.844444444444445,8.89,3.1034482758620685,4.3915475950215805,46.0
GNB,4.800000000000001,4.21311475409836,9.453867380184786,6.784140969162995,8.357924087813444,6.691947774849443,8.336318777609977,,5.572366030046511,7.926884326981119,5.937982782682598,7.564102564102563,,3.839494827586207,6.955555555555556,,5.1724137931034475,6.586200764490812,16.0
GNQ,4.600000000000001,,,,7.8936419111311285,6.756043582014607,,,3.2915385463499485,3.7579602945501307,5.493615500684269,,,,3.666666666666668,9.86,5.1724137931034475,6.02046963674862,23.0
GRC,0.0,,,0.04405286343612147,,0.25971656484074246,,,0.19366074965188027,0.11074426700238504,1.7763568394002505e-15,,,,0.0,5.109999999999999,0.5172413793103452,1.1518146017360864,147.0
GRD,1.0,,,0.0,,1.6913787158409408,,,,0.8233570379618929,0.6796396251036381,,,,0.6444444444444439,,0.862068965517242,1.023168466621376,151.0
GTM,2.400000000000002,4.836065573770491,5.890293801719207,0.5873715124816457,2.4201644548054775,1.9494553921924513,1.3217253660466957,,8.894918880953256,3.216150295042758,1.059640367838563,,7.949072586862663,4.77586224137931,0.10000000000000142,9.72,2.93103448275862,4.507929405355568,45.0
GUY,0.0,5.295081967213114,1.8902196787502774,0.2936857562408228,1.7238078705476099,2.4255747148530773,2.964441178133304,,1.2388979406828455,0.9695512059897204,0.6772120681360843,1.3846153846153846,,0.7142212413793104,0.7777777777777786,,0.0,1.760117168105997,121.0
HND,4.600000000000001,5.573770491803279,5.211248462145471,0.8663729809104268,1.564937365474698,1.3870183444513093,1.415100587128401,,3.441934443233001,1.3752671879925575,0.6639799013464724,7.128205128205128,8.03069506193462,4.823398275862069,0.6222222222222218,8.129999999999999,3.9655172413793105,4.004746742716595,54.0
HRV,0.0,,,0.014684287812038122,,0.4442824100498487,,,,0.4692317667637198,0.015052991996746812,,0.09374149222122946,,0.0,5.43,1.0344827586206904,1.2944916086518987,143.0
HTI,4.4,2.442622950819672,7.3972748818428125,3.5829662261380326,8.053763058072349,5.215021261974104,4.911413873028436,5.830541657153194,4.19185175203257,7.908308460572756,4.148758499756628,,,0.9074098448275861,5.633333333333335,9.59,6.551724137931035,5.116786592531512,32.0
HUN,0.0,,,0.19089574155653466,,0.24785567540597328,,,,0.22605096808578473,1.7763568394002505e-15,,0.6479674891421664,,0.0,0.0,0.0,0.2113145167960333,180.0
IDN,3.0,2.6721311475409837,1.339166701311843,0.4698972099853158,2.1060683878566975,1.6638493312915548,1.7808000129216706,,4.413668344991772,1.3159896514151477,1.708873298135332,,5.24450041118421,0.7761677413793103,0.0,5.64,3.4482758620689653,2.7094780937471916,84.0
IND,0.3999999999999986,3.819672131147541,2.160967989308105,1.556534508076357,1.073763732290935,2.564336525487005,6.312995162449626,8.161747997384559,6.509941319874064,1.8539384881709857,0.6647004238670053,,5.586374784770758,1.0726946724137933,0.08888888888888857,4.81,0.6896551724137936,3.443228652729613,65.0
IRL,1.0,,,0.07342143906020482,,0.26364073121278464,,,0.2320253831358953,1.1461548553440846,0.45118590088745236,,0.0,,0.0,0.0,1.0344827586206904,0.303552090314112,172.0
IRN,0.0,,,0.14684287812040964,,1.019319845017662,,,0.7769706027678073,1.0644209250264094,0.3339524044390618,,4.056452700966274,,0.0,1.3099999999999987,0.0,1.3164400888357635,140.0
IRQ,0.1999999999999993,4.573770491803278,6.100750023223408,0.5873715124816457,0.27132777170304756,2.0844874116651666,2.128570620967026,2.915424748314035,1.7135454311580445,0.16680171399182697,0.24756527824794716,0.8974358974358974,,3.4655172413793105,0.0,7.64,1.3793103448275872,2.5103185749210355,94.0
ISL,0.0,,,0.35242290748898597,,0.1580095550272226,,,,0.13631939316832664,1.7763568394002505e-15,,,,0.0,2.5299999999999994,0.6896551724137936,0.7541721928967703,158.0
ISR,0.0,0.13114754098360656,,0.07342143906020482,,0.21066467045266815,,,,0.008915636495482104,1.0756155255364774e-07,,1.199917441920221,,0.0,0.0,0.0,0.2607571475250107,176.0
ITA,0.8000000000000007,,,0.014684287812038122,,0.14604250484158096,,,,0.012839438895063893,0.012899204250736318,,0.2628163789447978,,0.0,0.0,0.6896551724137936,0.1595626140831474,185.0
JAM,0.0,4.40983606557377,,0.17621145374449299,3.0859942505452143,1.6745611739316346,1.3022297957568467,,1.1913453960398062,0.9341060783324302,1.9347016815758593,0.6666666666666666,,,0.0,6.49,0.0,2.3297645004784675,104.0
JOR,0.1999999999999993,1.6229508196721312,1.4635665900222836,0.014684287812038122,,1.1828573718143716,2.9852127633799865,,1.3554823245006882,0.39994623122978545,0.11099287696295157,0.17948717948717946,6.236426504034736,0.7413793448275863,0.0,8.64,0.3448275862068968,2.300508892985286,106.0
JPN,0.0,,,0.02936857562408335,,0.1189214626785711,,,0.8466762220942721,0.006323977761379496,0.12699771755647404,,0.06263446807861262,,0.0,1.459999999999999,0.0,0.4270391907360671,164.0
KAZ,0.0,0.9999999999999999,0.011425310775228681,0.014684287812038122,0.10314297184434018,0.8281462003612082,1.6648441727304297,,0.6966478416575808,0.22927324474029653,0.3368148355730938,1.6666666666666665,0.7805215935958,0.0,0.0,4.56,0.0,1.1989937045263537,144.0
KEN,1.4000000000000021,2.0491803278688523,,1.5712187958883987,4.426113031440003,3.806776259603918,2.428256462854236,,3.447733036053363,6.5945482166478655,5.348901000774168,,8.0301409269634,,2.666666666666666,9.68,1.2068965517241388,4.810258359582922,36.0
KGZ,1.6000000000000014,1.508196721311475,0.10282174192564497,0.02936857562408335,0.28711172412062425,1.5720555041179445,1.2546780485047204,1.2507220086623634,2.04508610093635,0.16288077279536672,0.7862325654717512,4.769230769230769,,0.06896551724137931,0.033333333333333215,8.4,2.2413793103448265,1.808571611949396,118.0
KHM,1.6000000000000014,2.934426229508196,,0.19089574155653466,1.3376443581742468,1.736929534993185,2.0184456845658727,,4.2758088424456995,1.858951703607488,2.666449885248001,,9.158247295178864,,0.8555555555555561,9.3,2.5862068965517233,4.219891931515986,49.0
KIR,0.3999999999999986,3.01639344262295,2.4797081803390366,1.1894273127753294,3.939163668933026,5.249554935919491,5.379501385041552,7.145935926095901,2.7834062240951942,6.116142011018859,3.2543685066099304,3.9743589743589736,,1.611406896551724,0.6222222222222218,9.87,0.6896551724137936,4.077399241358895,52.0
KNA,0.1999999999999993,,,0.08810572687224649,,1.4780937548746285,,,,0.5629492486988816,0.21582326575767752,,,,0.0,9.47,0.1724137931034484,2.8631524730242077,78.0
KOR,0.0,,,0.02936857562408335,,0.15560414648746249,,,0.1648719613536039,0.030191823644576843,1.7763568394002505e-15,,0.024219011005602087,,0.0,6.470000000000001,0.1724137931034484,1.1467061038084736,148.0
KWT,0.0,,,0.0,,0.693160967948415,,,0.7010172038532059,0.0,1.7763568394002505e-15,,5.061319050035978,,0.0,9.3,0.0,2.6259162036396,85.0
